"СРЕДНИЕ  ЦЕНЫ  НА  ТОВАРЫ	 РЕАЛИЗУЕМЫЕ В РОЗНИЧНОЙ СЕТИ (в магазинах и на городских рынках) *"								
"(в рублях за килограмм	 литр	 десяток	 изделие)"								
за октябрь 2019 года**								
								
								
	Республика	В том числе:						
	Беларусь	Брестская	Витебская	Гомельская	Гродненская	г. Минск	Минская	Могилевская
ПРОДОВОЛЬСТВЕННЫЕ ТОВАРЫ								
ГОВЯДИНА (КРОМЕ БЕСКОСТНОГО МЯСА)	8.30	6.47	7.41	8.93	6.76	8.90	8.67	10.34
ГОВЯДИНА БЕСКОСТНАЯ	13.67	12.20	13.12	12.47	12.62	15.90	14.03	12.17
СВИНИНА (КРОМЕ БЕСКОСТНОГО МЯСА)	7.16	7.06	6.67	6.75	6.95	7.49	7.39	7.46
СВИНИНА БЕСКОСТНАЯ	10.54	10.55	10.23	10.80	11.08	10.11	10.69	10.93
ФАРШ МЯСНОЙ 	8.29	7.92	8.21	8.17	8.60	8.75	7.98	7.88
"КУРЫ (ЦЫПЛЯТА	 ВКЛЮЧАЯ БРОЙЛЕРОВ)"	4.29	4.16	4.39	4.24	4.29	4.37	4.36	4.09
ПОЛУФАБРИКАТЫ ИЗ МЯСА ПТИЦЫ	5.32	5.52	5.13	5.16	5.66	5.38	5.32	5.00
СУБПРОДУКТЫ ИЗ ПТИЦЫ	3.94	3.61	3.87	3.57	4.20	4.31	3.43	4.42
КОТЛЕТЫ МЯСНЫЕ (за 1 шт. весом 100 г)	0.72	0.67	0.65	0.72	0.72	0.76	0.73	0.77
ПЕЛЬМЕНИ МЯСНЫЕ	6.05	5.37	5.44	6.13	5.58	6.71	6.33	5.77
"САЛО	 ГРУДИНКА"	11.47	9.51	10.79	10.52	11.55	12.86	12.36	10.97
КОЛБАСА ВАРЕНАЯ ВЫСШЕГО СОРТА	7.67	7.51	7.54	7.79	7.79	7.68	7.51	7.99
КОЛБАСА ВАРЕНАЯ ПЕРВОГО СОРТА	5.80	4.93	5.78	4.41	5.74	6.78	6.57	5.12
